Season,Team,W,L,W/L%
2022-23,Boston Celtics,57,25,0.695
2021-22,Boston Celtics,51,31,0.622
2020-21,Boston Celtics,36,36,0.5
2019-20,Boston Celtics,48,24,0.667
2018-19,Boston Celtics,49,33,0.598
2017-18,Boston Celtics,55,27,0.671
2016-17,Boston Celtics,53,29,0.646
2015-16,Boston Celtics,48,34,0.585
2014-15,Boston Celtics,40,42,0.488
2013-14,Boston Celtics,25,57,0.305
2012-13,Boston Celtics,41,40,0.506
2011-12,Boston Celtics,39,27,0.591
2010-11,Boston Celtics,56,26,0.683
2009-10,Boston Celtics,50,32,0.61
2008-09,Boston Celtics,62,20,0.756
2007-08,Boston Celtics,66,16,0.805
2006-07,Boston Celtics,24,58,0.293
2005-06,Boston Celtics,33,49,0.402
2004-05,Boston Celtics,45,37,0.549
2003-04,Boston Celtics,36,46,0.439
2002-03,Boston Celtics,44,38,0.537
2001-02,Boston Celtics,49,33,0.598
2000-01,Boston Celtics,36,46,0.439
1999-00,Boston Celtics,35,47,0.427
1998-99,Boston Celtics,19,31,0.38
1997-98,Boston Celtics,36,46,0.439
1996-97,Boston Celtics,15,67,0.183
1995-96,Boston Celtics,33,49,0.402
1994-95,Boston Celtics,35,47,0.427
