Season,Lg,Team,W,L,W/L%
2022-23,NBA,New York Knicks*,47,35,0.573
2021-22,NBA,New York Knicks,37,45,0.451
2020-21,NBA,New York Knicks*,41,31,0.569
2019-20,NBA,New York Knicks,21,45,0.318
2018-19,NBA,New York Knicks,17,65,0.207
2017-18,NBA,New York Knicks,29,53,0.354
2016-17,NBA,New York Knicks,31,51,0.378
2015-16,NBA,New York Knicks,32,50,0.39
2014-15,NBA,New York Knicks,17,65,0.207
2013-14,NBA,New York Knicks,37,45,0.451
2012-13,NBA,New York Knicks*,54,28,0.659
2011-12,NBA,New York Knicks*,36,30,0.545
2010-11,NBA,New York Knicks*,42,40,0.512
2009-10,NBA,New York Knicks,29,53,0.354
2008-09,NBA,New York Knicks,32,50,0.39
2007-08,NBA,New York Knicks,23,59,0.28
2006-07,NBA,New York Knicks,33,49,0.402
2005-06,NBA,New York Knicks,23,59,0.28
2004-05,NBA,New York Knicks,33,49,0.402
2003-04,NBA,New York Knicks*,39,43,0.476
2002-03,NBA,New York Knicks,37,45,0.451
2001-02,NBA,New York Knicks,30,52,0.366
2000-01,NBA,New York Knicks*,48,34,0.585
1999-00,NBA,New York Knicks*,50,32,0.61
1998-99,NBA,New York Knicks*,27,23,0.54
1997-98,NBA,New York Knicks*,43,39,0.524
1996-97,NBA,New York Knicks*,57,25,0.695
1995-96,NBA,New York Knicks*,47,35,0.573
1994-95,NBA,New York Knicks*,55,27,0.671
