"player","age","pts","fg","threep","ft","trb","ast","stl","blk"
"Tyler Herro",23,"20.1","0.44","0.38","0.9","5.4","4.2","0.8","0.2"
"Bam Adebayo",25,"20.4","0.54","0.08","0.8","9.2","3.2","1.2","0.8"
"Jimmy Butler",33,"22.9","0.54","0.35","0.9","5.9","5.3","1.8","0.3"
"Kyle Lowry",36,"11.2","0.40","0.35","0.9","4.1","5.1","1.0","0.4"
"Caleb Martin",27,"9.6","0.46","0.36","0.8","4.8","1.6","1.0","0.4"
"Max Strus",26,"11.5","0.41","0.35","0.9","3.2","2.1","0.5","0.2"
"Victor Oladipo",30,"10.7","0.40","0.33","0.8","3.0","3.5","1.4","0.3"
"Gabe Vincent",26,"9.4","0.40","0.33","0.9","2.1","2.5","0.9","0.1"
"Kevin Love",34,"7.7","0.39","0.30","0.9","5.7","1.9","0.4","0.2"
"Haywood Highsmith",26,"4.4","0.43","0.34","0.5","3.5","0.8","0.7","0.3"
"Duncan Robinson",28,"6.4","0.37","0.33","0.9","1.6","1.1","0.3","0.0"
"Jamaree Bouyea",23,"3.8","0.46","0.40","0.5","1.3","1.0","1.0","0.5"
"Cody Zeller",30,"6.5","0.63","0.00","0.7","4.3","0.7","0.2","0.3"
"Orlando Robinson",22,"3.7","0.53","0.00","0.7","4.1","0.8","0.4","0.4"
"Nikola Jovi?",19,"5.5","0.41","0.23","1.0","2.1","0.7","0.5","0.1"
"Dru Smith",25,"2.2","0.36","0.17","0.0","1.8","1.0","0.8","0.6"
"Jamal Cain",23,"5.4","0.56","0.35","0.8","2.9","0.7","0.6","0.1"
"Dewayne Dedmon",33,"5.7","0.50","0.30","0.7","3.6","0.5","0.2","0.5"
"Udonis Haslem",42,"3.9","0.35","0.33","0.8","1.6","0.0","0.1","0.3"
"Omer Yurtseven",24,"4.4","0.59","0.43","0.8","2.6","0.2","0.2","0.2"
