Player,Age,PTS,FG%,3P%,FT%,TRB,AST,STL,BLK
Jayson Tatum,24,30.1,0.466,0.35,0.854,8.8,4.6,1.1,0.7
Jaylen Brown,26,26.6,0.491,0.335,0.765,6.9,3.5,1.1,0.4
Marcus Smart,28,11.5,0.415,0.336,0.746,3.1,6.3,1.5,0.4
Al Horford,36,9.8,0.476,0.446,0.714,6.2,3,0.5,1
Derrick White,28,12.4,0.462,0.381,0.875,3.6,3.9,0.7,0.9
Malcolm Brogdon,30,14.9,0.484,0.444,0.87,4.2,3.7,0.7,0.3
Grant Williams,24,8.1,0.454,0.395,0.77,4.6,1.7,0.5,0.4
Robert Williams,25,8,0.747,0,0.61,8.3,1.4,0.6,1.4
Mike Muscala,31,5.9,0.472,0.385,0.692,3.4,0.6,0.2,0.3
Sam Hauser,25,6.4,0.455,0.418,0.706,2.6,0.9,0.4,0.3
Blake Griffin,33,4.1,0.485,0.348,0.656,3.8,1.5,0.3,0.2
Payton Pritchard,25,5.6,0.412,0.364,0.75,1.8,1.3,0.3,0
Luke Kornet,27,3.8,0.665,0.231,0.821,2.9,0.8,0.2,0.7
Justin Champagnie,21,2.5,0.167,0.2,0,2,1.5,0.5,0
Mfiondu Kabengele,25,1.5,0.286,0,1,2.5,0,0.5,0
Noah Vonleh,27,1.1,0.458,0.25,1,2.1,0.3,0.1,0.3
JD Davison,20,1.6,0.421,0.286,0.5,0.8,0.9,0.2,0.2
Justin Jackson,27,0.9,0.259,0.25,0.5,0.7,0.4,0.2,0.2
