Season,Team,W,L,W/L%
2022-23,Detroit Pistons,17,65,0.207
2021-22,Detroit Pistons,23,59,0.28
2020-21,Detroit Pistons,20,52,0.278
2019-20,Detroit Pistons,20,46,0.303
2018-19,Detroit Pistons,41,41,0.5
2017-18,Detroit Pistons,39,43,0.476
2016-17,Detroit Pistons,37,45,0.451
2015-16,Detroit Pistons,44,38,0.537
2014-15,Detroit Pistons,32,50,0.39
2013-14,Detroit Pistons,29,53,0.354
2012-13,Detroit Pistons,29,53,0.354
2011-12,Detroit Pistons,25,41,0.379
2010-11,Detroit Pistons,30,52,0.366
2009-10,Detroit Pistons,27,55,0.329
2008-09,Detroit Pistons,39,43,0.476
2007-08,Detroit Pistons,59,23,0.72
2006-07,Detroit Pistons,53,29,0.646
2005-06,Detroit Pistons,64,18,0.78
2004-05,Detroit Pistons,54,28,0.659
2003-04,Detroit Pistons,54,28,0.659
2002-03,Detroit Pistons,50,32,0.61
2001-02,Detroit Pistons,50,32,0.61
2000-01,Detroit Pistons,32,50,0.39
1999-00,Detroit Pistons,42,40,0.512
1998-99,Detroit Pistons,29,21,0.58
1997-98,Detroit Pistons,37,45,0.451
1996-97,Detroit Pistons,54,28,0.659
1995-96,Detroit Pistons,46,36,0.561
1994-95,Detroit Pistons,28,54,0.341
