Rk,Player,Age,TRB,AST,STL,BLK,PTS
1,LeBron James,38,8.3,6.8,0.9,0.6,28.9
2,Anthony Davis,29,12.5,2.6,1.1,2,25.9
3,D'Angelo Russell,26,2.9,6.1,0.6,0.5,17.4
4,Dennis Schröder,29,2.5,4.5,0.8,0.2,12.6
5,Austin Reaves,24,3,3.4,0.5,0.3,13
6,Russell Westbrook,34,6.2,7.5,1,0.4,15.9
7,Patrick Beverley,34,3.1,2.6,0.9,0.6,6.4
8,Troy Brown Jr.,23,4.1,1.3,0.8,0.2,7.1
9,Jarred Vanderbilt,23,6.7,1.6,1.2,0.2,7.2
10,Malik Beasley,26,3.3,1.2,0.8,0,11.1
11,Lonnie Walker IV,24,1.9,1.1,0.5,0.3,11.7
12,Rui Hachimura,24,4.7,0.7,0.2,0.4,9.6
13,Thomas Bryant,25,6.8,0.7,0.3,0.6,12.1
14,Wenyen Gabriel,25,4.2,0.5,0.4,0.5,5.5
15,Kendrick Nunn,27,1.4,0.9,0.3,0.1,6.7
16,Max Christie,19,1.8,0.5,0.2,0.2,3.1
17,Juan Toscano-Anderson,29,2,0.8,0.3,0.2,2.7
18,Matt Ryan,25,1.2,0.3,0.2,0,3.9
19,Mo Bamba,24,4.6,0.4,0.1,0.6,3.7
20,Damian Jones,27,2.5,0.2,0.1,0.5,2.5
21,Sterling Brown,27,2,0.5,0.8,0,0
22,Cole Swider,23,1,0.6,0,0,1.3
23,Scotty Pippen Jr.,22,0.7,0.3,0.3,0.2,2.3
24,Davon Reed,27,0.5,0.5,0.3,0,1
